title,price,availability,rating,review
Reebok Nano X2 Men's Training Shoes,US $59.97,Limited quantity available / 357 sold,97% positive,(132726)
Reebok Flexagon Force 4 Men's Training Shoes,US $49.96,Limited quantity available / 586 sold,97% positive,(132726)
Reebok Men's Club C 85 Shoes,US $75.00,10 available / 100 sold,97% positive,(132726)
Reebok Club C Revenge Vintage Men's Shoes,US $90.00,10 available / 178 sold,97% positive,(132726)
adidas men Advantage Shoes,US $42.00,"More than 10 available / 5,867 sold",97.8% positive,(470709)
"Men's basketball shoes NK AJ4 University blue air4 sneakers ,NO boxes",US $85.00,More than 10 available / 26 sold,Contact seller,No review
adidas men Grand Court Shoes,US $42.00,"Limited quantity available / 1,100 sold",97.8% positive,(470709)
adidas men Swift Run 22 Shoes,US $47.00,"Limited quantity available / 6,349 sold",97.8% positive,(470709)
Water Shoes Quick Dry Barefoot for Swim Diving Surf Aqua Sport Beach Vacation,US $11.97/ea,"More than 10 available / 10,464 sold",98.7% positive,(14964)
Water Shoes Quick Dry Barefoot for Swim Diving Surf Aqua Sport Beach Vacation,US $10.89/ea,More than 10 available / 999 sold,100% positive,(863045)
Running Shoes Sneakers Casual Men's Outdoor Athletic Jogging Sports Tennis Gym,US $16.09/ea,"More than 10 available / 1,765 sold",100% positive,(863045)
"Crocs Men's and Women's Shoes - Baya Clogs, Slip On Shoes, Waterproof Sandals",US $34.99,"More than 10 available / 14,534 sold",98.5% positive,(174435)
Running Shoes Sneakers Casual Men's Outdoor Athletic Jogging Sports Tennis Gym,US $16.15,"More than 10 available / 6,403 sold",99.2% positive,(234320)
Men's Casual Shoes Lace Up Waking Shoes Fashion Sneakers Size 6.5-15,US $27.85,"2 available / 3,427 sold",99.5% positive,(120514)
Men's Slip on Sports Outdoor Sneakers Trainers Casual Running Hiking Shoes Size,US $11.39,Last One / 135 sold,98% positive,(1279)
Men's Casual Running Sneakers Athletic Jogging Tennis Shoes Sports Walking Gym,US $14.99,5 available / 617 sold,98.2% positive,(1590)
